Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
62,Player_269,Club_13,24.0,1,105,9,2/10,0,4.38,16.0,11.67,55.56,44.44,0.0,0.0,15.0
63,Player_260,Club_12,24.3,1,82,9,3/7,0,3.35,16.33,9.11,88.89,11.11,0.0,0.0,14.06
64,Player_381,Club_26,26.0,2,93,9,5/5,1,3.58,17.33,10.33,22.22,77.78,0.0,0.0,16.36
65,Player_347,Club_46,27.0,5,81,9,3/9,0,3.0,18.0,9.0,88.89,11.11,0.0,0.0,12.33
66,Player_393,Club_47,27.0,5,82,9,3/6,0,3.04,18.0,9.11,77.78,11.11,11.11,0.0,12.16
67,Player_398,Club_11,27.0,2,99,9,2/0,0,3.67,18.0,11.0,66.67,33.33,0.0,0.0,11.25
68,Player_412,Club_07,28.0,4,62,9,2/5,0,2.21,18.67,6.89,66.67,33.33,0.0,0.0,12.68
69,Player_079,Club_35,28.0,1,118,9,2/7,0,4.21,18.67,13.11,66.67,22.22,11.11,0.0,14.29
70,Player_401,Club_42,28.0,2,113,9,3/11,0,4.04,18.67,12.56,77.78,11.11,0.0,11.11,12.33
71,Player_221,Club_14,28.1,2,159,9,2/12,0,5.64,18.78,17.67,55.56,33.33,0.0,11.11,13.24
72,Player_371,Club_39,28.2,4,100,9,3/0,0,3.53,18.89,11.11,66.67,22.22,11.11,0.0,10.11
73,Player_069,Club_14,28.2,2,124,9,3/3,0,4.38,18.89,13.78,88.89,11.11,0.0,0.0,12.5
74,Player_039,Club_34,30.5,0,152,9,2/18,0,4.93,20.56,16.89,44.44,55.56,0.0,0.0,9.09
75,Player_332,Club_14,31.0,5,161,9,3/11,0,5.19,20.67,17.89,33.33,55.56,0.0,11.11,9.89
76,Player_205,Club_12,31.0,3,120,9,3/6,0,3.87,20.67,13.33,66.67,33.33,0.0,0.0,13.43
77,Player_372,Club_43,32.0,0,142,9,2/15,0,4.44,21.33,15.78,33.33,44.44,22.22,0.0,15.0
78,Player_310,Club_43,33.0,3,132,9,2/3,0,4.0,22.0,14.67,66.67,33.33,0.0,0.0,15.25
79,Player_343,Club_23,13.3,0,52,8,2/2,0,3.85,10.13,6.5,50.0,25.0,0.0,0.0,21.62
80,Player_251,Club_12,15.1,3,65,8,2/1,0,4.29,11.38,8.13,62.5,37.5,0.0,0.0,12.31
81,Player_244,Club_42,17.5,3,68,8,5/6,1,3.81,13.38,8.5,62.5,37.5,0.0,0.0,16.0
82,Player_191,Club_21,18.0,1,56,8,3/11,0,3.11,13.5,7.0,37.5,50.0,12.5,0.0,17.02
83,Player_123,Club_08,18.5,3,78,8,3/2,0,4.14,14.13,9.75,87.5,12.5,0.0,0.0,15.09
