Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
64,Player_385,Club_38,10,9,4,160,35,32.0,0,0,95.24,21,3,1,3,2,0,0,0,1(10.00%),3(30.00%),7(70.00%),0(0.00%),15.63
65,Player_322,Club_13,10,9,4,159,31,31.8,0,0,110.42,24,2,2,3,2,0,0,0,1(10.00%),8(80.00%),2(20.00%),0(0.00%),15.5
66,Player_019,Club_03,6,6,4,159,35,79.5,0,0,122.22,9,1,1,1,0,0,0,0,0(0.00%),4(66.67%),2(33.33%),0(0.00%),20.95
67,Player_317,Club_22,12,12,4,158,31,19.75,0,0,95.18,19,1,2,5,2,0,0,1,0(0.00%),9(75.00%),3(25.00%),0(0.00%),11.24
68,Player_398,Club_11,12,12,2,158,30,15.8,0,0,73.83,17,1,0,7,3,0,0,0,0(0.00%),7(58.33%),5(41.67%),0(0.00%),12.54
69,Player_011,Club_46,10,10,4,156,33,26.0,0,0,100,19,6,2,2,3,0,0,1,0(0.00%),5(50.00%),5(50.00%),0(0.00%),16.81
70,Player_361,Club_39,10,9,4,155,31,31.0,0,0,75.24,19,0,0,3,2,0,0,0,1(10.00%),9(90.00%),1(10.00%),0(0.00%),16.52
71,Player_262,Club_43,11,9,4,155,28,31.0,0,0,73.57,12,0,0,3,1,1,0,0,2(18.18%),4(36.36%),5(45.45%),1(9.09%),17.59
72,Player_080,Club_34,15,15,3,154,32,12.83,0,0,49.52,17,0,2,8,3,0,0,1,0(0.00%),12(80.00%),3(20.00%),0(0.00%),10.36
73,Player_308,Club_32,15,14,3,153,25,13.91,0,0,95,23,2,1,4,3,1,0,3,1(6.67%),10(66.67%),3(20.00%),1(6.67%),12.31
74,Player_129,Club_39,11,8,5,151,32,50.33,0,0,97.42,18,3,0,1,1,1,0,0,3(27.27%),9(81.82%),2(18.18%),0(0.00%),14.88
75,Player_013,Club_21,10,10,2,150,33,18.75,0,0,78.13,19,3,0,7,1,0,0,0,0(0.00%),5(50.00%),5(50.00%),0(0.00%),16.38
76,Player_271,Club_32,15,15,1,150,31,10.71,0,0,90.2,22,0,4,9,4,0,1,0,0(0.00%),10(66.67%),3(20.00%),1(6.67%),11.72
77,Player_009,Club_34,15,15,3,149,31,12.42,0,0,96.75,23,2,3,9,3,0,0,0,0(0.00%),12(80.00%),3(20.00%),0(0.00%),10.03
78,Player_238,Club_15,11,10,6,148,32,37.0,0,0,137.04,27,1,1,2,2,0,0,0,1(9.09%),5(45.45%),6(54.55%),0(0.00%),10.5
79,Player_028,Club_19,10,8,4,148,30,37.0,0,0,91.55,7,0,0,2,1,0,0,1,2(20.00%),8(80.00%),2(20.00%),0(0.00%),12.8
80,Player_060,Club_38,10,9,3,148,32,24.67,0,0,93.08,15,6,1,5,1,0,0,0,1(10.00%),4(40.00%),6(60.00%),0(0.00%),14.64
81,Player_413,Club_45,10,9,4,147,33,29.4,0,0,89.19,14,1,2,4,1,0,0,0,1(10.00%),5(50.00%),3(30.00%),1(10.00%),19.27
82,Player_081,Club_10,10,8,4,144,31,36.0,0,0,75.79,23,1,0,1,2,0,0,1,2(20.00%),6(60.00%),4(40.00%),0(0.00%),13.28
83,Player_347,Club_46,10,10,3,143,33,20.43,0,0,135.24,20,4,2,5,1,1,0,0,0(0.00%),5(50.00%),5(50.00%),0(0.00%),15.41
84,Player_175,Club_28,15,15,1,142,30,10.14,0,0,81.61,20,1,4,9,3,0,0,2,0(0.00%),2(13.33%),13(86.67%),0(0.00%),14.62
85,Player_054,Club_49,12,11,3,141,30,17.63,0,0,97.1,21,1,3,4,3,0,0,1,1(8.33%),5(41.67%),6(50.00%),0(0.00%),16.65
86,Player_276,Club_06,9,7,5,140,32,70.0,0,0,148.84,22,1,1,0,1,0,0,1,2(22.22%),8(88.89%),1(11.11%),0(0.00%),13.55
